2025-06-04 at 00:19:42 | INFO | Бот успешно запущен.
2025-06-04 at 00:19:45 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1475802009}
2025-06-04 at 00:19:45 | INFO | Запись найдена по фильтрам: {'telegram_id': 1475802009}
2025-06-04 at 00:19:54 | INFO | Поиск всех записей Category по фильтрам: {}
2025-06-04 at 00:19:54 | INFO | Найдено 5 записей.
2025-06-04 at 00:20:06 | INFO | Подсчет количества записей Product по фильтру: {}
2025-06-04 at 00:20:06 | INFO | Найдено 13 записей.
2025-06-04 at 00:21:02 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 6926049400}
2025-06-04 at 00:21:02 | INFO | Запись найдена по фильтрам: {'telegram_id': 6926049400}
2025-06-04 at 01:08:30 | ERROR | Бот остановлен!
2025-06-04 at 02:44:26 | INFO | Бот успешно запущен.
2025-06-04 at 02:45:17 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1475802009}
2025-06-04 at 02:45:17 | INFO | Запись найдена по фильтрам: {'telegram_id': 1475802009}
2025-06-04 at 02:45:29 | INFO | Поиск всех записей Category по фильтрам: {}
2025-06-04 at 02:45:29 | INFO | Найдено 5 записей.
2025-06-04 at 02:45:32 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2025-06-04 at 02:45:32 | INFO | Найдено 2 записей.
2025-06-04 at 02:45:50 | ERROR | Бот остановлен!
2025-06-04 at 02:57:42 | INFO | Бот успешно запущен.
2025-06-04 at 03:00:02 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1475802009}
2025-06-04 at 03:00:02 | INFO | Запись найдена по фильтрам: {'telegram_id': 1475802009}
2025-06-04 at 03:00:25 | INFO | Поиск всех записей Category по фильтрам: {}
2025-06-04 at 03:00:25 | INFO | Найдено 5 записей.
2025-06-04 at 03:00:27 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2025-06-04 at 03:00:27 | INFO | Найдено 2 записей.
2025-06-04 at 03:00:35 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1475802009}
2025-06-04 at 03:00:35 | INFO | Запись найдена по фильтрам: {'telegram_id': 1475802009}
2025-06-04 at 03:01:07 | INFO | Добавление записи Purchase с параметрами: {'user_id': 3, 'payment_id': '8138711778_1475802009_509756_7511877351497120768', 'price': 50, 'product_id': 6}
2025-06-04 at 03:01:07 | INFO | Запись Purchase успешно добавлена.
2025-06-04 at 03:01:07 | INFO | Поиск Product с ID: 6
2025-06-04 at 03:01:07 | INFO | Запись с ID 6 найдена.
2025-06-04 at 03:01:20 | INFO | Подсчет количества записей Product по фильтру: {}
2025-06-04 at 03:01:20 | INFO | Найдено 13 записей.
2025-06-04 at 03:01:29 | INFO | Поиск всех записей Category по фильтрам: {}
2025-06-04 at 03:01:29 | INFO | Найдено 5 записей.
